NOUN	NOUN FREQ	NUMBER OF SYLLABLES IN THE BASE	PREFIX	THEME SHARED WITH THE BASE VERB (with v1|v2)	NOUN SUFFIX (wrt v1|v2 or a|v1 etc.)	RETROGRADE	PARENT noun	how parent noun derived from its parent	PARENT adjective	how parent adjective derived from its parent	PARENT other pos	how parent word(other pos) derived from its parent	PARENT verb1	how parent verb1 derived from its parent	v1 theme	v1 aspect	v1 conjug class	v1 has a suffixed aspect counterpart	PARENT verb2 = v1's suffixed counterpart	how parent verb2 derived from its parent	v2 theme	v2 aspect	v2 conjug class	NOUN ALSO AS NNI.*
dráteník	77	2	no	x	ík	kínetárd			drátěný	deNother														no
mazlík	77	2	no	x	ík	kílzam	mazel	deVother																no
ďáblík	78	2	no	x	ík	kílbáď	ďábel	UNMOT																no
pláteník	81	2	no	x	ík	kínetálp	plátno	UNMOT	plátěný	deNother														no
kajícník	83	2#3	no	x	ík	kíncíjak			kajícný	deVother														no
polárník	89	2#3	no	x	ík	kínrálop			polární	deNloan														no
buzík	90	1	no	x	ík	kízub	buzerant	LOAN																no
jedlík	122	2	no	x	ík	kíldej			jedlý	deVlpart														no
starožitník	124	3#4	no	x	ík	kíntižorats			starožitný	COMPOUND														no
praporčík	124	2#3	no	x	ík	kíčroparp	praporek	deNdimin																no
hošík	134	1	no	x	ík	kíšoh	hoch	UNMOT																no
tatík	140	1	no	x	ík	kítat	táta	UNMOT																no
tlouštík	188	1	no	x	ík	kítšuolt			tlustý	UNMOT														no
kameník	195	2	no	x	ík	kínemak	kámen	UNMOT	kamenný	deNother														no
amík	197	1	no	x	ík	kíma	Američan	deNother																no
straník	251	1	no	x	ík	kínarts	strana	UNMOT	stranný	deNother														no
kominík	259	2	no	x	ík	kínimok	komín	UNMOT																no
mužík	302	1	no	x	ík	kížum	muž	UNMOT																no
poustevník	333	2#3	no	x	ík	kínvetsuop	poustevna	deAother																no
profík	342	1	no	x	ík	kíforp	profesionál	LOAN																no
kriminálník	344	3#4	no	x	ík	kínlánimirk	kriminál	LOAN	kriminální	deNloan														no
knihovník	348	2#3	no	x	ík	kínvohink	knihovna	deNother																no
obojživelník	349	4#5	no	x	ík	kínlevižjobo			obojživelný	COMPOUND														no
učedník	380	2#3	no	x	ík	kíndeču			učený	deVnpart														no
kadeřník	397	2#3	no	x	ík	kínředak	kadeř	UNMOT																no
bubeník	496	2	no	x	ík	kínebub	buben	UNMOT																no
mučedník	552	2#3	no	x	ík	kíndečum			mučední	deVother														no
varhaník	556	2	no	x	ík	kínahrav	varhany	UNMOT	varhanní	deNother														no
stařík	758	1	no	x	ík	kířats			starý	UNMOT														no
lékárník	811	2#3	no	x	ík	kínrákél	lékárna	deNother																no
zdravotník	1395	2#3	no	x	ík	kíntovardz			zdravotní	deNother														no
dobrovolník	1625	3#4	no	x	ík	kínlovorbod			dobrovolný	COMPOUND														no
chlapík	2069	1	no	x	ík	kípalhc	chlap	UNMOT																no
tajemník	2255	2#3	no	x	ík	kínmejat			tajemný	deVother														no
plukovník	2842	2#3	no	x	ík	kínvokulp			plukovní	deNother														no
mladík	6803	1	no	x	ík	kídalm	mládí	deAother	mladý	UNMOT														no
leník	19	1	no	x	ík	kínel	léno	UNMOT	lenný	deNother														no
jezdec	2390	1	no	x	ec	cedzej	jízda	deVaction					jezdit	UNMOT	i	imp	4	yes (det)	no					yes
obrněnec	22	3	yes1	x	ec	ceněnrbo			obrněný	deVnpart														yes
ženec	3	1	no	x	ec	cenež							žít (-sekat)	UNMOT	0	imp	2	no	NA					no
žnec	29	1	no	x	ec	cenž							žít (-sekat)	UNMOT	0	imp	2	no	NA					no
věštec	221	1	no	x	ec	cetšěv							věštit	UNMOT	i	imp	4	no	NA					no
vědec	8064	1	no	x	ec	ceděv	věda	deVother					vědět	UNMOT	ě	imp	4	no	NA					no
tkadlec	74	2	no	x	ec	celdakt							tkát	UNMOT	á	imp	5	no	NA					no
švec	422	1	no	x	ec	cevš							šít	UNMOT	0	imp	3	no	NA					no
světec	772	1	no	x	ec	cetěvs							světit	deAaction	i	imp	4	no	NA					no
střelec	2968	1	no	x	ec	celeřts	střela	UNMOT					střelit	UNMOT	i	per	4	yes	střílet	UNMOT	e	imp	4	no
správec	29	1	yes1	x	ec	cevárps	správa	deVaction					spravit	deVpref	i	per	4	yes	spravovat	deVsecimp	ova	imp	3	no
sportovec	3530	2	no	ov<ova	ec	cevotrops							sportovat	deNloan	ova	imp	3	no	NA					no
rytec	70	1	no	x	ec	cetyr							rýt	UNMOT	0	imp	3	no	NA					no
psanec	174	1	no	x	ec	cenasp							psát	UNMOT	á	imp	1	no	NA					no
plavec	839	1	no	x	ec	cevalp							plavat	UNMOT	a	imp	1	no	NA					no
pištec	67	1	no	x	ec	cetšip							pištět	UNMOT	ě	imp	4	no	NA					no
pěvec	502	1	no	x	ec	cevěp							pět	UNMOT	0	imp	3	no	NA					no
mlatec	3	1	no	x	ec	cetalm	mlat	UNMOT					mlátit	deNaction	i	imp	4	no	NA					no
milec	21	1	no	x	ec	celim			milý	UNMOT			milovat	deAaction	ova	imp	3	no	NA					no
lovec	2297	1	no	x	ec	cevol	lov	UNMOT					lovit	deNaction	i	imp	4	no	NA					no
litec	9	1	no	x	ec	cetil							lít	UNMOT	0	imp	3	no	NA					no
lezec	114	1	no	x	ec	cezel							lézt	UNMOT	0	imp	1	no	NA					no
letec	592	1	no	x	ec	cetel	let	deVaction					letět	UNMOT	ě	imp	4	yes (det)	létat	UNMOT	a	imp	5	no
kupec	1189	1	no	x	ec	cepuk	koupě	deVaction					koupit	UNMOT	i	per	4	yes	kupovat	UNMOT	ova	imp	3	no
